# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Dec 21 02:31:12 AEDT 2019 [seed=1576855870114]
# -overwrite 2012-2014.5_sierra_leone_max200_sc_iso.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-27945.40358197036	-63.84783362040157	-27881.555748349958	1.658040690176939	1.658040690176939	7.514516062406542	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.005	0.005	-27881.555748349958	0.0	-51.33489815543135
10000	-26724.90669717526	64.57266178844907	-26789.479358963712	0.07406976768604262	0.07406976768604262	0.5786353207396561	0.08326179861623241	1.2458057027928935	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06918123598163417	0.005	0.005000000000000002	-26789.479358963712	0.0	77.46975626079345
20000	-26686.89690111305	60.83449913430394	-26747.731400247354	0.07378039668828601	0.07378039668828601	0.5810076624160311	0.12096634366056601	-0.5530039661965227	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.12301968478395453	0.005	0.005	-26747.731400247354	0.0	73.14646914470204
30000	-26671.18446509833	71.85296850313745	-26743.03743360147	0.079816610914725	0.079816610914725	0.5677719592153018	0.0773181088751764	1.0267963867356849	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.08691183904907034	0.005	0.004999999999999999	-26743.03743360147	0.0	84.5665148061226
40000	-26647.945735993544	70.64531203053077	-26718.591048024075	0.06253973534425739	0.06253973534425739	0.49933267365174394	0.08315062683515848	0.8544375051332949	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.11151370274471832	0.005	0.005000000000000001	-26718.591048024075	0.0	83.23570323763
50000	-26611.629295556602	108.72896063119036	-26720.358256187792	0.0511948276986149	0.0511948276986149	0.31998413066788134	0.05526813668858912	1.1567732901795962	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.037602704297714645	0.005	0.004999999999999999	-26720.358256187792	0.0	121.47386534761698
60000	-26633.296570870927	92.08285345452094	-26725.37942432545	0.0371607826583242	0.0371607826583242	0.36589150000639653	0.06896290604808716	-0.37464559476402237	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.06709965701591272	0.005	0.005000000000000003	-26725.37942432545	0.0	104.10462451791608
70000	-26642.155215851835	73.98283498259991	-26716.138050834434	0.04350811794711117	0.04350811794711117	0.4459641806669767	0.07948615206704315	-1.5783649052640976	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016057392394152135	0.005	0.005	-26716.138050834434	0.0	87.10624093248406
80000	-26618.865974888082	96.12240779755254	-26714.988382685635	0.03766923426650394	0.03766923426650394	0.3150956593927092	0.06756409092162888	-2.2699143650484324	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013767483409928548	0.005	0.005000000000000001	-26714.988382685635	0.0	109.93278327003196
90000	-26644.614021821697	78.01091178426368	-26722.62493360596	0.05813849241029205	0.05813849241029205	0.43833968521437444	0.08875174050940733	-0.9518398131283252	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.3142671522107146	0.005	0.004999999999999999	-26722.62493360596	0.0	91.10421225430107
