# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Dec 09 15:17:54 AEDT 2019 [seed=1575863808847]
# -overwrite ebola_early2014_ucld_het.xml
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
193000	-20269.30990595861	-21399.049421892607	-1129.739515933999	1.0	-21399.049421892607
194000	-20265.705866348362	-21395.96852259678	-1130.2626562484195	1.0	-21395.96852259678
195000	-20261.344162188645	-21393.948708094766	-1132.604545906122	1.0	-21393.948708094766
196000	-20260.90016581089	-21403.394251951133	-1142.4940861402413	1.0	-21403.394251951133
197000	-20257.178247233816	-21391.3554865505	-1134.1772393166832	1.0	-21391.3554865505
198000	-20262.112154456332	-21394.32321970827	-1132.2110652519375	1.0	-21394.32321970827
199000	-20266.351649700835	-21382.376698978216	-1116.0250492773812	1.0	-21382.376698978216
200000	-20273.829531615884	-21393.82721598187	-1119.9976843659865	1.0	-21393.82721598187
201000	-20273.862275487994	-21386.27493265336	-1112.4126571653655	1.0	-21386.27493265336
202000	-20269.789693718645	-21373.20172069868	-1103.412026980032	1.0	-21373.20172069868
203000	-20279.85964162083	-21367.722590657137	-1087.862949036307	1.0	-21367.722590657137
204000	-20280.447705871145	-21373.77828640916	-1093.3305805380162	1.0	-21373.77828640916
205000	-20284.35503802317	-21386.44010059599	-1102.0850625728192	1.0	-21386.44010059599
206000	-20279.330160375925	-21370.653766129173	-1091.3236057532472	1.0	-21370.653766129173
207000	-20275.498581291915	-21374.04398819494	-1098.5454069030234	1.0	-21374.04398819494
208000	-20272.437720708822	-21370.908906268643	-1098.4711855598225	1.0	-21370.908906268643
209000	-20267.242478111788	-21363.32199986627	-1096.0795217544855	1.0	-21363.32199986627
210000	-20266.234332838296	-21370.729614333053	-1104.4952814947583	1.0	-21370.729614333053
211000	-20265.53478073086	-21369.2176196409	-1103.6828389100378	1.0	-21369.2176196409
212000	-20268.487555958553	-21382.059576691292	-1113.5720207327404	1.0	-21382.059576691292
213000	-20260.27079015896	-21383.243074521746	-1122.9722843627865	1.0	-21383.243074521746
214000	-20253.146160905042	-21382.506755210004	-1129.3605943049622	1.0	-21382.506755210004
215000	-20251.284478700843	-21377.939571855168	-1126.6550931543256	1.0	-21377.939571855168
216000	-20253.377262270773	-21380.5967477647	-1127.219485493925	1.0	-21380.5967477647
217000	-20249.722604701696	-21383.932089416387	-1134.2094847146902	1.0	-21383.932089416387
218000	-20246.757986411303	-21385.775184180213	-1139.017197768911	1.0	-21385.775184180213
219000	-20245.580141972583	-21373.486438841475	-1127.9062968688932	1.0	-21373.486438841475
220000	-20259.646120438963	-21384.351825762875	-1124.705705323912	1.0	-21384.351825762875
221000	-20265.093404824594	-21381.36052833162	-1116.267123507027	1.0	-21381.36052833162
222000	-20263.19213810221	-21378.869123943867	-1115.6769858416544	1.0	-21378.869123943867
223000	-20264.863833783675	-21372.157822693887	-1107.2939889102117	1.0	-21372.157822693887
224000	-20257.484261462014	-21365.081149437385	-1107.5968879753714	1.0	-21365.081149437385
225000	-20260.376269083146	-21378.179303799483	-1117.8030347163365	1.0	-21378.179303799483
226000	-20257.712793918276	-21373.87629502554	-1116.1635011072633	1.0	-21373.87629502554
227000	-20256.856172403983	-21374.80195448203	-1117.9457820780476	1.0	-21374.80195448203
228000	-20258.879008069667	-21377.575231581413	-1118.6962235117458	1.0	-21377.575231581413
229000	-20256.719627481314	-21382.889476206037	-1126.1698487247247	1.0	-21382.889476206037
230000	-20273.7540358725	-21395.19537835078	-1121.441342478282	1.0	-21395.19537835078
231000	-20266.44879072174	-21389.366781966917	-1122.9179912451782	1.0	-21389.366781966917
232000	-20263.995228656433	-21397.952192386063	-1133.9569637296286	1.0	-21397.952192386063
233000	-20263.366125240365	-21386.798853604858	-1123.4327283644932	1.0	-21386.798853604858
234000	-20268.076654848668	-21393.318950211855	-1125.2422953631867	1.0	-21393.318950211855
235000	-20267.481433876164	-21386.406231389927	-1118.924797513763	1.0	-21386.406231389927
236000	-20267.658043436197	-21394.551410649696	-1126.8933672134985	1.0	-21394.551410649696
237000	-20274.594699980626	-21387.27267803596	-1112.6779780553347	1.0	-21387.27267803596
238000	-20277.117606950756	-21387.945791601844	-1110.8281846510854	1.0	-21387.945791601844
239000	-20268.999585403988	-21386.803278641702	-1117.8036932377154	1.0	-21386.803278641702
240000	-20276.789775138448	-21395.51232501514	-1118.7225498766936	1.0	-21395.51232501514
241000	-20279.11321134758	-21396.124169751587	-1117.0109584040072	1.0	-21396.124169751587
242000	-20285.388382078934	-21385.339911118455	-1099.9515290395198	1.0	-21385.339911118455
243000	-20276.55901657395	-21384.547003120893	-1107.9879865469447	1.0	-21384.547003120893
244000	-20269.40103948369	-21388.37486078256	-1118.9738212988661	1.0	-21388.37486078256
245000	-20283.574111797465	-21382.790032085828	-1099.2159202883643	1.0	-21382.790032085828
246000	-20277.602734744218	-21364.760301049377	-1087.1575663051583	1.0	-21364.760301049377
247000	-20282.150511783755	-21380.697241397054	-1098.5467296133006	1.0	-21380.697241397054
248000	-20285.813426367076	-21368.99327823475	-1083.1798518676733	1.0	-21368.99327823475
249000	-20287.447003480447	-21365.98224205485	-1078.5352385744059	1.0	-21365.98224205485
250000	-20287.74076885223	-21368.632755528317	-1080.8919866760868	1.0	-21368.632755528317
251000	-20288.71183540531	-21364.580261840503	-1075.8684264351925	1.0	-21364.580261840503
252000	-20285.859137573738	-21352.218587462172	-1066.3594498884345	1.0	-21352.218587462172
253000	-20287.363089789334	-21358.241593642466	-1070.8785038531314	1.0	-21358.241593642466
254000	-20294.156673196423	-21363.70269546193	-1069.5460222655072	1.0	-21363.70269546193
255000	-20287.12904211195	-21349.810739391913	-1062.6816972799647	1.0	-21349.810739391913
256000	-20287.677091899786	-21340.51495837218	-1052.8378664723919	1.0	-21340.51495837218
257000	-20289.66520697195	-21346.04561927967	-1056.3804123077214	1.0	-21346.04561927967
258000	-20292.31450161571	-21354.1255471124	-1061.8110454966877	1.0	-21354.1255471124
259000	-20283.568452373736	-21335.550813014495	-1051.9823606407572	1.0	-21335.550813014495
260000	-20282.601575422847	-21335.940679219057	-1053.3391037962112	1.0	-21335.940679219057
261000	-20293.41615002845	-21350.33920305475	-1056.9230530263007	1.0	-21350.33920305475
262000	-20291.576380995466	-21349.428668317974	-1057.8522873225072	1.0	-21349.428668317974
263000	-20288.21957523522	-21341.103716753547	-1052.8841415183285	1.0	-21341.103716753547
264000	-20283.364660292114	-21338.644383591884	-1055.2797232997684	1.0	-21338.644383591884
265000	-20285.42912574577	-21345.42825298938	-1059.999127243609	1.0	-21345.42825298938
266000	-20287.808825756372	-21350.983229650883	-1063.1744038945117	1.0	-21350.983229650883
267000	-20291.708462841663	-21355.8221519918	-1064.113689150137	1.0	-21355.8221519918
268000	-20285.35571131771	-21349.74361278935	-1064.3879014716395	1.0	-21349.74361278935
269000	-20297.202909668795	-21363.868265135403	-1066.6653554666073	1.0	-21363.868265135403
270000	-20289.87582400959	-21363.157965690116	-1073.2821416805275	1.0	-21363.157965690116
271000	-20291.864005798132	-21364.397862611084	-1072.5338568129525	1.0	-21364.397862611084
272000	-20285.81110866543	-21361.733053632626	-1075.9219449671932	1.0	-21361.733053632626
273000	-20292.510229410465	-21365.94063311715	-1073.4304037066827	1.0	-21365.94063311715
274000	-20295.62509416545	-21354.271816029486	-1058.646721864036	1.0	-21354.271816029486
275000	-20295.5598536015	-21362.282243609214	-1066.7223900077156	1.0	-21362.282243609214
276000	-20297.799059248293	-21370.618568240596	-1072.819508992302	1.0	-21370.618568240596
