# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Dec 19 13:02:11 AEDT 2019 [seed=1576720928903]
# -overwrite 2014.5-2015_large2014_max200_ucld_het.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-68994.6725604964	-2590.3009075171826	-66404.37165297921	4.6892276617182205	2010.310351993602	25.902141085586276	1.0	0.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.25	0.3333333333333333	0.20080521908743523	1.296283897596086	0.032132767307594685	-66404.37165297921	-2382.607898103206	-190.5510960202669
5000	-44691.73109798024	-2646.8864919054367	-42044.8446060748	5.248281118034962	2009.751298537285	29.901702792305	1.364102338517878	0.05324181616036627	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.10675441032846153	0.016175484773896704	0.036530976624865215	0.004614879095300277	1.8574249277976727	-0.020006370158492246	-42044.8446060748	-2382.607898103206	-256.1929708854837
10000	-43672.52290687724	-2674.6289972672707	-40997.89390960997	4.30847958532763	2010.6911000699924	30.109411998743592	1.4725533943622242	-0.04164978560765209	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030890953563885888	0.018799497961434444	0.05840753317642899	0.00462072544173262	2.243019004149057	-0.0058267763930731934	-40997.89390960997	-2382.607898103206	-283.8790916613333
15000	-42657.05019355698	-2687.2237701558734	-39969.82642340111	4.310078287629446	2010.6895013676906	29.429901493650426	1.719652328261834	-0.05489104495488406	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04655857294322165	0.014451451255192385	0.048105573149619635	0.003971938813775684	2.411683764500822	0.010989900037350555	-39969.82642340111	-2382.607898103206	-296.72103286559735
20000	-42355.6009717073	-2697.9174908605055	-39657.6834808468	3.8624779165237353	2011.1371017387964	29.177438935220362	1.8927400157290595	0.22186194616623056	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04692698119428165	0.012461567506137236	0.039611362617161534	0.0037365885670898854	2.1855554051145623	0.028006888510442477	-39657.6834808468	-2382.607898103206	-307.403999960282
25000	-42181.97334658128	-2692.629399814938	-39489.34394676634	3.9471246464937004	2011.0524550088264	28.8461886433449	1.998907771012505	0.27222203763433206	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0126759918721761	0.012720441823372864	0.0445794581575123	0.003684735134983771	2.381550151923535	0.023573654033927176	-39489.34394676634	-2382.607898103206	-302.09981637409453
30000	-42096.76679759096	-2719.0711824507507	-39377.695615140205	4.541303134901925	2010.4582765204182	30.823619055264	2.0509633970807837	0.17405746822994805	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015559097081724186	0.013291060625590325	0.05884797968434319	0.003410730645740767	2.7330970416448426	0.02801108539961617	-39377.695615140205	-2382.607898103206	-328.55965995353125
35000	-41984.57710451141	-2726.1351181263963	-39258.44198638501	4.340128083984088	2010.659451571336	31.367836604309925	2.0738005901773002	0.09000252760410676	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.015624989901250214	0.014213652787425878	0.07074182677570809	0.0033396690722472012	2.823538855678313	-0.03324094414863638	-39258.44198638501	-2382.607898103206	-335.6108593242311
40000	-41911.95631313491	-2719.8070281305854	-39192.14928500433	4.739029079962066	2010.260550575358	31.35948217267501	1.9893792085497843	0.018610544000867257	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.033317976661217975	0.01353661210318201	0.06950949622773117	0.0033527751037037905	2.867370052233374	-0.022987125962403737	-39192.14928500433	-2382.607898103206	-329.36809285231004
45000	-41854.80127211976	-2713.18719105696	-39141.6140810628	4.350563957981316	2010.6490156973387	29.50659073586603	2.31060936656791	0.5083285564066402	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04295032311499111	0.013526189643349175	0.061945223978039594	0.0035779690141730463	2.635675022040364	-0.023126448559852804	-39141.6140810628	-2382.607898103206	-322.2572856880725
50000	-41736.42224264286	-2727.095764546493	-39009.326478096365	4.9271606857295485	2010.0724189695904	31.306860543034393	2.4201105729883285	0.266247428466615	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0358494109880762	0.010981855931010741	0.04315346476731672	0.003244031868683027	2.341169864364016	-0.05245918142218236	-39009.326478096365	-2382.607898103206	-336.6676240906175
55000	-41566.63202097909	-2741.1747971014147	-38825.457223877675	5.658144475112204	2009.3414351802078	33.035519492267376	2.573531692083666	0.17334263068801903	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03846427582564454	0.009912387871518607	0.036939079662563316	0.003214079698759726	2.2565615146137623	-0.04719261680938611	-38825.457223877675	-2382.607898103206	-350.9474225069949
60000	-41390.639359294924	-2744.281522165639	-38646.35783712928	5.110468592808129	2009.889111062512	31.64147215837494	2.915858541561697	0.3049732150358955	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03635097740006218	0.008483803706186153	0.02536695233009179	0.003166456488145187	1.8917585967786297	-0.026561691960363887	-38646.35783712928	-2382.607898103206	-354.0767332438888
65000	-41317.03731577571	-2737.220465242293	-38579.81685053342	5.139797547990749	2009.8597821073292	31.858343620478205	2.2876804030174447	0.26714560704613133	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03391876630399325	0.008166924055926892	0.024430137608589794	0.0031763694435577956	1.9472687696439868	-0.040934661104302494	-38579.81685053342	-2382.607898103206	-347.0918890413713
70000	-41162.90364340051	-2753.7563192930897	-38409.14732410742	4.877056191994539	2010.1225234633255	31.769890547723833	2.364304072706188	0.17289609417206542	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.050738284472330385	0.009081891858911314	0.03157624114962531	0.0032165362067731965	2.256369716965966	-0.04071918716057001	-38409.14732410742	-2382.607898103206	-363.5840832090854
75000	-41086.670446948825	-2745.3210517062294	-38341.34939524259	5.721097755680993	2009.278481899639	33.325771459584026	2.201246766124145	0.07770389178472348	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04257693386538002	0.008719214819164985	0.034572326739498366	0.0028087880122376024	2.4966718030714827	-0.04772013872543339	-38341.34939524259	-2382.607898103206	-355.2935827233156
80000	-41064.09578920412	-2753.388995566978	-38310.70679363714	5.110892567321001	2009.8886870879992	32.312223553330654	2.4532982917245043	0.5164213252505643	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.022765044266945658	0.00857891609295908	0.032084145344816316	0.002905051857991427	2.3905945092004717	-0.051539333242475706	-38310.70679363714	-2382.607898103206	-362.97593375700154
85000	-40919.60682607477	-2754.814944682456	-38164.79188139232	5.141263046950178	2009.85831660837	31.95671838282623	2.4829512087494185	0.3620472069184977	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0429700279351123	0.007896715313824399	0.029398290058687142	0.002916861238160685	2.3572038485281483	-0.03984901977421772	-38164.79188139232	-2382.607898103206	-364.58465380300964
90000	-40870.380033413756	-2759.4731385726773	-38110.90689484108	4.93178176215864	2010.0677978931615	31.889050954081085	2.9235440913222983	0.5689716852928095	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.024508091556243183	0.007717868254823499	0.02763765693313737	0.0029419987936363506	2.2203583283600046	-0.039287105894832725	-38110.90689484108	-2382.607898103206	-369.0947566848077
95000	-40714.816973303496	-2774.873302938998	-37939.9436703645	5.902160666500246	2009.0974189888198	34.934055389600054	2.780291885508716	0.2851914680862331	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.016003153093402486	0.006132262224599512	0.018669056362549407	0.002632069828561859	2.062663597869619	-0.017904423593255187	-37939.9436703645	-2382.607898103206	-385.01509603614625
100000	-40653.84025740195	-2764.281383452783	-37889.558873949165	5.917151556426861	2009.0824280988932	34.34256865791804	2.550467920556346	0.3180928874409912	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.013130705599837202	0.005043286757101019	0.011146030472867899	0.0026162671166224238	1.6694922582993128	-0.0225298608826346	-37889.558873949165	-2382.607898103206	-374.54883137816853
105000	-40589.83398766823	-2767.0019903853454	-37822.83199728288	6.227203695798781	2008.7723759595212	35.022077927506785	2.9129482765237706	0.3718372894716433	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028960118461878168	0.005161319448465531	0.01160210686197893	0.0026647508750838557	1.6913197353517009	-0.013356511718209998	-37822.83199728288	-2382.607898103206	-377.1733318973551
110000	-40542.40020167748	-2772.427546948924	-37769.97265472856	6.369730579271664	2008.6298490760485	35.91717356316391	2.165869895900756	0.07609226519370416	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04291780227349302	0.005060404317715229	0.010983153749507955	0.002602714599464937	1.6798543672133648	-0.08453379772601821	-37769.97265472856	-2382.607898103206	-382.89007854040057
115000	-40536.152185192	-2782.0310890823703	-37754.12109610963	5.8099373718292675	2009.189642283491	35.552362008776015	2.6395600497301364	-9.537404688420015E-4	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.023426660251850463	0.004746128852318473	0.010237232787822702	0.0023077671093249892	1.7205720485245983	0.004795696213076033	-37754.12109610963	-2382.607898103206	-392.6499478977091
120000	-40497.797716353496	-2789.0800742249116	-37708.717642128584	4.85485462889258	2010.1447250264275	34.7565475174607	3.2454875071777485	0.15590827754235081	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.03309829195111943	0.004806284104586441	0.01008627705166661	0.0026100297935061903	1.6073214780843827	-0.012135959833741886	-37708.717642128584	-2382.607898103206	-399.50915151359345
125000	-40472.32582519438	-2793.7794023999995	-37678.546422794374	3.8006755713483464	2011.1989040839717	32.76592606173016	3.032278327665186	0.6474969066949536	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.04140141210664279	0.004344847465094325	0.009757905124888819	0.0025789999317261704	1.6738385301018692	0.011131443504568413	-37678.546422794374	-2382.607898103206	-403.7469363390049
130000	-40404.974014824744	-2796.5321539559536	-37608.44186086879	4.165303300139067	2010.834276355181	33.1012021596666	3.591689098096207	0.2987779546681011	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.028326772606492117	0.0041890841499436695	0.008475527734624835	0.0026840325679694335	1.7419214575216024	-0.03392046385599124	-37608.44186086879	-2382.607898103206	-406.90544138707065
135000	-40368.35716921071	-2794.194419141818	-37574.16275006889	3.6148967003079164	2011.384682955012	31.84916888854283	4.356920973643074	0.9649974594384629	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.030353688737296384	0.004034598033313956	0.008597247901642019	0.0025365381669662022	1.8132717168681625	-0.02010867279853854	-37574.16275006889	-2382.607898103206	-403.90673412008067
