file_name,lsd_rate,lower95CI,upper95CI,pval
RAxML_bestTree.dcr_all_2014_tree,2.527e-03,1.000e-10,6.720e-03,1
RAxML_bestTree.dcr_cladeA_2014_tree,1.000e-10,1.000e-10,1.658e-03,0
RAxML_bestTree.dcr_cladeB_2014_tree,1.565e-03,1.000e-10,1.566e-02,0.98
RAxML_bestTree.dcr_cladeB_2018_tree,2.525e-03,1.000e-10,2.045e-02,0.99
RAxML_bestTree.vipr_lam_T5,7.875e-05,1.000e-10,1.846e-04,1
